Date,District,Active Cases,Total Hospitalized,Home Isolation,Under Observation,Hospitalized Today,Discharged 
01-03-2020,Thiruvananthapuram,0,2,30,32,0,
01-03-2020,Kollam,0,1,5,6,0,
01-03-2020,Pathanamthitta,0,0,1,1,2,
01-03-2020,Idukki,0,0,3,3,0,
01-03-2020,Kottayam,0,0,28,28,0,
01-03-2020,Alappuzha,0,0,6,6,2,
01-03-2020,Ernakulam,0,2,48,50,0,
01-03-2020,Thrissur,0,5,39,44,1,
01-03-2020,Palakkad,0,0,2,2,0,
01-03-2020,Malappuram,0,1,1,2,4,
01-03-2020,Kozhikode,0,1,7,8,0,
01-03-2020,Wayanad,0,0,0,0,0,
01-03-2020,Kannur,0,0,9,9,0,
01-03-2020,Kasaragod,0,1,14,15,0,
01-03-2020,Total,0,13,193,206,9,
02-03-2020,Thiruvananthapuram,0,3,25,28,8,
02-03-2020,Kollam,0,1,8,9,0,
02-03-2020,Pathanamthitta,0,1,2,3,0,
02-03-2020,Idukki,0,0,5,5,3,
02-03-2020,Kottayam,0,0,35,35,2,
02-03-2020,Alappuzha,0,0,9,9,1,
02-03-2020,Ernakulam,0,2,78,80,0,
02-03-2020,Thrissur,0,6,46,52,4,
02-03-2020,Palakkad,0,1,8,9,0,
02-03-2020,Malappuram,0,0,6,6,2,
02-03-2020,Kozhikode,0,2,7,9,0,
02-03-2020,Wayanad,0,0,4,4,0,
02-03-2020,Kannur,0,0,22,22,0,
02-03-2020,Kasaragod,0,1,21,22,0,
02-03-2020,Total,0,17,276,293,20,
03-03-2020,Thiruvananthapuram,0,2,28,30,6,
03-03-2020,Kollam,0,2,22,24,0,
03-03-2020,Pathanamthitta,0,3,3,6,0,
03-03-2020,Idukki,0,0,8,8,0,
03-03-2020,Kottayam,0,0,41,41,0,
03-03-2020,Alappuzha,0,0,16,16,0,
03-03-2020,Ernakulam,0,2,103,105,0,
03-03-2020,Thrissur,0,6,52,58,2,
03-03-2020,Palakkad,0,1,7,8,2,
03-03-2020,Malappuram,0,2,32,34,0,
03-03-2020,Kozhikode,0,4,9,13,2,
03-03-2020,Wayanad,0,0,4,4,0,
03-03-2020,Kannur,0,1,30,31,0,
03-03-2020,Kasaragod,0,0,33,33,0,
03-03-2020,Total,0,23,388,411,12,
04-03-2020,Thiruvananthapuram,0,2,27,29,3,
04-03-2020,Kollam,0,2,25,27,0,
04-03-2020,Pathanamthitta,0,3,6,9,0,
04-03-2020,Idukki,0,0,9,9,0,
04-03-2020,Kottayam,0,0,42,42,5,
04-03-2020,Alappuzha,0,0,19,19,0,
04-03-2020,Ernakulam,0,2,124,126,0,
04-03-2020,Thrissur,0,9,54,63,0,
04-03-2020,Palakkad,0,0,11,11,2,
04-03-2020,Malappuram,0,6,38,44,0,
04-03-2020,Kozhikode,0,5,16,21,1,
04-03-2020,Wayanad,0,0,4,4,0,
04-03-2020,Kannur,0,2,30,32,0,
04-03-2020,Kasaragod,0,0,33,33,0,
04-03-2020,Total,0,31,438,469,11,
05-03-2020,Thiruvananthapuram,0,4,24,28,2,
05-03-2020,Kollam,0,2,26,28,1,
05-03-2020,Pathanamthitta,0,3,6,9,4,
05-03-2020,Idukki,0,0,9,9,0,
05-03-2020,Kottayam,0,0,59,59,0,
05-03-2020,Alappuzha,0,0,25,25,1,
05-03-2020,Ernakulam,0,2,127,129,0,
05-03-2020,Thrissur,0,12,71,83,1,
